change_request_id,sprint_id,sprint_name,release_id,work_item_id,work_item_name,work_item_level,item_type,story_points,priority,request_date,days_into_sprint,sprint_progress_pct,original_estimate_hours,rework_hours,actual_hours,base_effort_hours,impacted_effort_hours,remaining_capacity_hours,caused_spillover,delay_days_caused,delay_severity,complexity_score,predicted_risk_proxy,sprint_task_load,team_capacity_hours,team_headcount,base_remaining_capacity_hours,utilisation_factor,timing_penalty,priority_multiplier,recommendation
CR_000042,282,Sprint 22 - Yangtze - Release X+3,REL_X+3,1887,Android UI implementation,Task,Task,1,Critical,2024-10-16,9,90.0,4,1,5,5,10.5,7.9,0,0.0,On Time,1,9.8,4.553734061930784,320,8,31.999999999999993,0.7535005080265186,1.63,1.2,Accept in current sprint
CR_000043,483,Sprint 15 - Yangtze - Release X+4,REL_X+4,2517,QA Android,Task,Task,2,Low,2024-10-08,1,10.0,9,2,10,10,3.7,73.3,0,0.0,On Time,2,2.3,4.553734061930784,320,8,288.0,0.7454532118519906,1.07,0.3,Accept in current sprint
CR_000044,1488,Sprint 6 - Nile - Release X+9,REL_X+9,7612,QA Android,Task,Task,1,High,2025-07-01,7,70.0,6,1,6,6,8.7,25.6,1,0.0,On Time,1,7.8,5.0,280,7,84.00000000000001,0.6953227174783212,1.49,0.9,Split scope or escalate
CR_000045,21,Sprint 21 - Amazon - Release X+2,REL_X+2,1212,View Cards,Business Story,Business Story,12,Medium,2024-07-22,3,30.0,68,7,72,72,100.5,59.1,1,15.0,Moderate,12,9.3,4.553734061930784,240,6,168.0,0.6483483173502927,1.21,0.6,Split scope or escalate
CR_000046,971,Sprint 9 - Waikato - Release X+6,REL_X+6,3344,Android UI implementation,Task,Task,2,Low,2024-12-30,4,40.0,8,1,8,8,3.5,19.4,0,0.0,On Time,2,5.3,4.0,120,3,72.0,0.7303625598443378,1.28,0.3,Accept in current sprint
CR_000047,1354,Sprint 2 - Mississippi - Release X+8,REL_X+8,5740,Android UI implementation,Task,Task,1,High,2025-03-13,7,70.0,7,2,9,9,13.0,31.0,0,0.0,On Time,1,7.8,2.0,400,10,120.00000000000001,0.7416656574534461,1.49,0.9,Accept in current sprint
CR_000048,620,Sprint 22 - Congo - Release X+4,REL_X+4,452,QA iOS,Task,Task,1,High,2024-12-18,2,20.0,7,1,7,7,7.7,50.2,0,0.0,On Time,1,2.8,3.0,160,4,128.0,0.6079434431326707,1.14,0.9,Accept in current sprint
CR_000049,366,Sprint 2 - Ganga - Release X+3,REL_X+3,6892,Make a transfer,User Story,User Story,5,Critical,2024-03-25,4,40.0,29,0,29,29,61.7,28.0,1,15.3,Moderate,5,6.8,4.553734061930784,200,5,120.0,0.7665120098272904,1.28,1.2,Split scope or escalate
CR_000050,150,Sprint 20 - Waikato - Release X+2,REL_X+2,166,Back end development task -2,Task,Task,2,Low,2024-07-14,5,50.0,13,3,14,14,6.5,14.4,0,0.0,On Time,2,6.3,8.0,120,3,60.0,0.759655760916996,1.35,0.3,Accept in current sprint
CR_000051,282,Sprint 22 - Yangtze - Release X+3,REL_X+3,2992,QA Android,Task,Task,1,Medium,2024-10-13,6,60.0,6,0,6,6,5.5,43.8,0,0.0,On Time,1,6.8,4.553734061930784,320,8,128.0,0.6578679366191666,1.42,0.6,Accept in current sprint
CR_000052,1526,Sprint 18 - Yangtze - Release X+9,REL_X+9,7044,Android UI implementation,Task,Task,2,High,2025-10-30,8,80.0,13,1,13,13,21.1,12.8,1,2.0,Minor,2,9.3,6.0,320,8,63.999999999999986,0.7996178311765242,1.56,0.9,Defer to next sprint
CR_000053,1461,Sprint 5 - Amazon - Release X+9,REL_X+9,2028,iOS development task 1,Task,Task,1,Low,2025-06-23,9,90.0,6,0,6,6,3.2,6.4,0,0.0,On Time,1,9.8,4.553734061930784,240,6,23.999999999999993,0.7315128611078829,1.63,0.3,Accept in current sprint
CR_000054,347,Sprint 9 - Waikato - Release X+3,REL_X+3,6905,Make a transfer,User Story,User Story,3,Critical,2024-06-06,7,70.0,20,4,21,21,46.2,9.7,1,31.4,Severe,3,8.8,4.553734061930784,120,3,36.00000000000001,0.7296208399410604,1.49,1.2,Split scope or escalate
CR_000055,941,Sprint 5 - Mississippi - Release X+6,REL_X+6,4772,Back end development task -2,Task,Task,1,Critical,2024-11-24,8,80.0,7,2,7,7,14.1,17.8,0,0.0,On Time,1,8.8,1.0,400,10,79.99999999999999,0.7769278332349642,1.56,1.2,Accept in current sprint
CR_000056,82,Sprint 4 - Yenisei - Release X+2,REL_X+2,2381,Android UI implementation,Task,Task,3,Low,2024-02-08,8,80.0,14,1,15,15,8.6,17.7,0,0.0,On Time,3,9.8,4.553734061930784,360,9,71.99999999999999,0.7546545932448487,1.56,0.3,Accept in current sprint
CR_000057,1068,Sprint 2 - Nile - Release X+7,REL_X+7,5337,Display Card Menu,User Story,User Story,3,Medium,2024-12-30,4,40.0,21,2,23,23,21.7,64.8,1,0.0,On Time,3,5.8,7.0,280,7,168.0,0.6141553041646162,1.28,0.6,Split scope or escalate
CR_000058,384,Sprint 20 - Ganga - Release X+3,REL_X+3,5860,Verify Email,User Story,User Story,5,Critical,2024-09-23,6,60.0,22,5,23,23,54.3,28.0,1,12.3,Moderate,5,8.8,1.0,200,5,80.0,0.6498892788774691,1.42,1.2,Split scope or escalate
CR_000059,1670,Sprint 6 - Amazon - Release X+10,REL_X+10,4081,Transaction history,User Story,User Story,5,High,2025-09-08,6,60.0,20,3,23,23,40.7,38.3,0,0.0,On Time,5,8.8,3.0,240,6,96.0,0.6012259911346648,1.42,0.9,Accept in current sprint
CR_000060,1586,Sprint 26 - Mississippi - Release X+9,REL_X+9,7832,Error Handling,User Story,User Story,6,Critical,2026-01-17,7,70.0,33,9,37,37,96.7,43.3,1,15.5,Moderate,6,10.3,4.553734061930784,400,10,120.00000000000001,0.6395639535520049,1.49,1.2,Split scope or escalate
CR_000061,850,Sprint 18 - Amazon - Release X+6,REL_X+6,1089,QA iOS,Task,Task,2,Critical,2025-04-04,9,90.0,14,0,14,14,31.6,5.1,1,8.9,Moderate,2,10.3,1.0,240,6,23.999999999999993,0.7868727863006066,1.63,1.2,Defer to next sprint
CR_000062,1252,Sprint 4 - Amazon - Release X+8,REL_X+8,6784,Process Payment,Business Story,Business Story,9,High,2025-03-31,5,50.0,62,8,70,70,143.9,30.2,1,45.0,Critical,9,9.8,4.553734061930784,240,6,120.0,0.7479696070536906,1.35,0.9,Split scope or escalate
CR_000063,1194,Sprint 24 - Waikato - Release X+7,REL_X+7,2891,Display Card Screen,User Story,User Story,5,Low,2025-08-07,4,40.0,30,1,30,30,16.0,18.6,0,0.0,On Time,5,6.8,4.553734061930784,120,3,72.0,0.7415964067497387,1.28,0.3,Accept in current sprint
CR_000064,1255,Sprint 7 - Amazon - Release X+8,REL_X+8,586,Environment setup,Task,Task,1,Critical,2025-05-02,7,70.0,6,1,6,6,11.6,25.8,0,0.0,On Time,1,7.8,4.0,240,6,72.00000000000001,0.6416338230065214,1.49,1.2,Accept in current sprint
CR_000065,225,Sprint 17 - Amazon - Release X+3,REL_X+3,6492,Payment Confirmation,User Story,User Story,8,Low,2024-08-25,7,70.0,54,3,54,54,39.0,21.6,1,6.8,Moderate,8,11.3,2.0,240,6,72.00000000000001,0.6995768417546487,1.49,0.3,Split scope or escalate
CR_000066,1653,Sprint 15 - Congo - Release X+9,REL_X+9,3727,Android development task -1,Task,Task,1,Critical,2025-09-23,1,10.0,5,1,6,6,8.3,30.4,0,0.0,On Time,1,1.8,2.0,160,4,144.0,0.7885563073359461,1.07,1.2,Accept in current sprint
CR_000067,63,Sprint 11 - Yangtze - Release X+2,REL_X+2,2186,Display Card Menu,User Story,User Story,7,Medium,2024-04-18,8,80.0,30,7,33,33,47.5,14.3,1,14.0,Moderate,7,11.8,4.553734061930784,320,8,63.999999999999986,0.7765805571102784,1.56,0.6,Defer to next sprint
CR_000068,860,Sprint 2 - Nile - Release X+6,REL_X+6,7520,Android development task -1,Task,Task,1,Critical,2024-10-18,1,10.0,7,2,8,8,11.1,50.8,0,0.0,On Time,1,1.8,4.553734061930784,280,7,252.0,0.7986093799909504,1.07,1.2,Accept in current sprint
CR_000069,1692,Sprint 2 - Nile - Release X+10,REL_X+10,5895,Update Card,Business Story,Business Story,13,High,2025-08-02,9,90.0,63,6,68,68,199.5,10.6,1,45.0,Critical,13,15.8,3.0,280,7,27.999999999999993,0.622407375484597,1.63,0.9,Defer to next sprint
CR_000070,1789,Sprint 21 - Mississippi - Release X+10,REL_X+10,4575,Android development task -1,Task,Task,3,Critical,2026-02-03,4,40.0,21,5,26,26,49.2,79.0,0,0.0,On Time,3,5.8,6.0,400,10,240.0,0.6706609546311706,1.28,1.2,Accept in current sprint
CR_000071,1382,Sprint 4 - Waikato - Release X+8,REL_X+8,3852,QA iOS,Task,Task,1,High,2025-03-28,2,20.0,6,0,6,6,6.6,21.1,0,0.0,On Time,1,2.8,9.0,120,3,96.0,0.7806315886396638,1.14,0.9,Accept in current sprint
CR_000072,650,Sprint 26 - Amazon - Release X+5,REL_X+5,5051,Payment Confirmation,User Story,User Story,3,Medium,2025-04-09,4,40.0,18,1,19,19,18.0,55.6,0,0.0,On Time,3,5.8,2.0,240,6,144.0,0.6140660480971329,1.28,0.6,Accept in current sprint
CR_000073,1723,Sprint 7 - Yangtze - Release X+10,REL_X+10,1785,QA Android,Task,Task,2,Critical,2025-09-21,9,90.0,9,0,9,9,20.3,9.6,1,3.3,Minor,2,10.3,2.0,320,8,31.999999999999993,0.7007737195532768,1.63,1.2,Defer to next sprint
CR_000074,1500,Sprint 18 - Nile - Release X+9,REL_X+9,6659,Error Handling,User Story,User Story,6,Low,2025-10-23,1,10.0,34,9,38,38,17.8,99.5,0,0.0,On Time,6,4.3,1.0,280,7,252.0,0.6053502101225798,1.07,0.3,Accept in current sprint
CR_000075,1091,Sprint 25 - Nile - Release X+7,REL_X+7,831,QA Android,Task,Task,1,Low,2025-08-18,5,50.0,4,0,4,4,1.7,40.7,0,0.0,On Time,1,5.8,2.0,280,7,140.0,0.7094283296940253,1.35,0.3,Accept in current sprint
CR_000076,190,Sprint 8 - Congo - Release X+2,REL_X+2,5888,iOS UI implementation,Task,Task,2,High,2024-03-13,2,20.0,8,0,8,8,9.5,38.4,0,0.0,On Time,2,3.3,4.553734061930784,160,4,128.0,0.7001599656836182,1.14,0.9,Accept in current sprint
CR_000077,1447,Sprint 17 - Congo - Release X+8,REL_X+8,2195,Back end development task -1,Task,Task,1,Medium,2025-08-04,1,10.0,4,0,4,4,2.8,53.7,0,0.0,On Time,1,1.8,4.553734061930784,160,4,144.0,0.6269431941476402,1.07,0.6,Accept in current sprint
CR_000078,866,Sprint 8 - Nile - Release X+6,REL_X+6,547,QA Android,Task,Task,2,Critical,2024-12-20,4,40.0,11,3,14,14,24.8,61.0,1,0.0,On Time,2,5.3,6.0,280,7,168.0,0.6367433529488568,1.28,1.2,Split scope or escalate
CR_000079,1766,Sprint 24 - Yenisei - Release X+10,REL_X+10,7417,Android development task -1,Task,Task,3,Medium,2026-03-02,1,10.0,12,1,12,12,9.5,111.4,0,0.0,On Time,3,2.8,9.0,360,9,324.0,0.6560208576734482,1.07,0.6,Accept in current sprint
CR_000080,1361,Sprint 9 - Mississippi - Release X+8,REL_X+8,4307,Back end development task -2,Task,Task,1,Critical,2025-05-20,5,50.0,6,0,6,6,10.5,67.8,0,0.0,On Time,1,5.8,4.553734061930784,400,10,200.0,0.6610870720888813,1.35,1.2,Accept in current sprint
CR_000081,843,Sprint 11 - Amazon - Release X+6,REL_X+6,3136,iOS UI implementation,Task,Task,1,High,2025-01-20,5,50.0,4,0,4,4,5.2,27.8,1,0.0,On Time,1,5.8,2.0,240,6,120.0,0.7686910948084269,1.35,0.9,Split scope or escalate
CR_000082,409,Sprint 19 - Congo - Release X+3,REL_X+3,1061,Add Card,Business Story,Business Story,13,Critical,2024-09-13,6,60.0,67,10,72,72,245.4,13.3,1,45.0,Critical,13,12.8,9.0,160,4,64.0,0.7920085858482103,1.42,1.2,Split scope or escalate
CR_000083,301,Sprint 15 - Yenisei - Release X+3,REL_X+3,5950,iOS UI implementation,Task,Task,1,Critical,2024-08-05,7,70.0,5,0,5,5,9.6,26.9,0,0.0,On Time,1,7.8,4.553734061930784,360,9,108.00000000000001,0.7510041115591305,1.49,1.2,Accept in current sprint
CR_000084,951,Sprint 15 - Mississippi - Release X+6,REL_X+6,1134,QA Android,Task,Task,2,High,2025-03-03,7,70.0,13,0,13,13,20.1,28.9,1,0.0,On Time,2,8.3,4.553734061930784,400,10,120.00000000000001,0.7589821797327754,1.49,0.9,Split scope or escalate
CR_000085,1826,Sprint 6 - Ganga - Release X+10,REL_X+10,6586,Back end development task -1,Task,Task,2,High,2025-09-10,8,80.0,12,3,15,15,24.3,12.6,0,0.0,On Time,2,9.3,5.0,200,5,39.99999999999999,0.6847038648666754,1.56,0.9,Accept in current sprint
CR_000086,760,Sprint 6 - Waikato - Release X+5,REL_X+5,7509,Environment setup,Task,Task,2,Critical,2024-09-25,8,80.0,8,0,8,8,17.3,6.4,1,8.5,Moderate,2,9.3,6.0,120,3,23.999999999999993,0.7312563554591783,1.56,1.2,Defer to next sprint
CR_000087,1092,Sprint 26 - Nile - Release X+7,REL_X+7,4986,Make a transfer,User Story,User Story,5,Low,2025-08-24,1,10.0,27,7,29,29,12.9,86.8,0,0.0,On Time,5,3.8,5.0,280,7,252.0,0.6555469997326715,1.07,0.3,Accept in current sprint
CR_000088,80,Sprint 2 - Yenisei - Release X+2,REL_X+2,2388,Payment Form,User Story,User Story,5,Low,2024-01-17,6,60.0,31,1,32,32,18.9,47.8,0,0.0,On Time,5,8.8,4.553734061930784,360,9,144.0,0.6683165173817632,1.42,0.3,Accept in current sprint
CR_000089,1045,Sprint 5 - Amazon - Release X+7,REL_X+7,7024,Payment Confirmation,User Story,User Story,8,High,2025-01-29,4,40.0,34,10,41,41,76.3,49.5,1,26.5,Severe,8,8.3,1.0,240,6,144.0,0.6561098696492154,1.28,0.9,Split scope or escalate
CR_000090,1186,Sprint 16 - Waikato - Release X+7,REL_X+7,5710,Make a transfer,User Story,User Story,5,Critical,2025-05-19,4,40.0,32,4,32,32,68.1,19.8,1,45.0,Critical,5,6.8,4.553734061930784,120,3,72.0,0.7252757096792484,1.28,1.2,Split scope or escalate
CR_000091,654,Sprint 4 - Nile - Release X+5,REL_X+5,4433,QA iOS,Task,Task,1,Critical,2024-09-06,9,90.0,6,0,6,6,12.6,7.6,1,1.4,Minor,1,9.8,5.0,280,7,27.999999999999993,0.7275120129068038,1.63,1.2,Defer to next sprint
CR_000092,741,Sprint 13 - Mississippi - Release X+5,REL_X+5,7816,Verify Email,User Story,User Story,7,Critical,2024-11-30,4,40.0,36,4,40,40,94.5,59.2,1,8.9,Moderate,7,7.8,4.553734061930784,400,10,240.0,0.7534414741926465,1.28,1.2,Split scope or escalate
CR_000093,648,Sprint 24 - Amazon - Release X+5,REL_X+5,2185,Add Card,Business Story,Business Story,13,Medium,2025-03-25,9,90.0,53,13,56,56,109.5,8.1,1,45.0,Critical,13,15.8,1.0,240,6,23.999999999999993,0.6628026840797663,1.63,0.6,Defer to next sprint
CR_000094,112,Sprint 8 - Mississippi - Release X+2,REL_X+2,6418,Back end development task -1,Task,Task,2,Low,2024-03-15,4,40.0,11,0,11,11,4.9,74.0,0,0.0,On Time,2,5.3,4.0,400,10,240.0,0.6917272874100836,1.28,0.3,Accept in current sprint
CR_000095,381,Sprint 17 - Ganga - Release X+3,REL_X+3,480,Payment Form,User Story,User Story,4,High,2024-08-24,6,60.0,26,5,28,28,46.8,20.5,1,13.2,Moderate,4,8.3,7.0,200,5,80.0,0.7437976931580539,1.42,0.9,Split scope or escalate
